类别,名称,许可,本地状态,推荐用途,来源
人物图片,精致棚拍中国风女性正脸,Pexels License,已下载 JPG,数字人头像首选,https://www.pexels.com/photo/portrait-of-a-woman-13205972/
人物图片,亲和微笑白衬衫正脸,Pexels License,已下载 JPG,客服与讲解型形象,https://www.pexels.com/photo/smiling-asian-woman-looking-at-camera-7626623/
人物图片,现代时尚红帽微笑,Pexels License,已下载 JPG,时尚与直播类形象,https://www.pexels.com/photo/studio-portrait-of-a-female-fashion-model-15916388/
人物图片,北京艺术光影正面人像,Pexels License,已下载 JPG,艺术与内容型形象,https://www.pexels.com/photo/portrait-of-a-young-woman-with-shadow-play-36960641/
人物图片,汉服造型白底正面,Pexels License,已下载 JPG,国风数字人形象,https://www.pexels.com/photo/woman-in-traditional-dress-holding-a-hand-fan-10487576/
人物视频,正面自然说话人物,CC0,来源入口,口型和头部动作参考,https://commons.wikimedia.org/wiki/File:Nusa_Penida_Balinese_dialect_recorded.webm
人物视频,女性对镜说话,Pexels License,来源入口,演示剪辑与镜头参考,https://www.pexels.com/video/woman-talking-in-front-of-camera-8048249/
人物视频,绿幕主持人合集,Mixkit License,来源入口,抠像与虚拟背景,https://mixkit.co/free-stock-video/green-screen/
人物语音,通用普通话女声 TTS,系统内置语音生成,已生成 WAV,口型同步联调,03_人物语音/通用普通话女声_TTS_口型测试.wav
人物语音,通用英语女声 TTS,系统内置语音生成,已生成 WAV,英文口型同步联调,03_人物语音/通用英语女声_TTS_LipSync_Test.wav
人物语音,普通话女声 Vivienne Wong 孙子兵法,Public Domain Mark,来源入口,长语音和韵律测试,https://archive.org/details/art_of_war_chinese_1506_librivox
人物语音,普通话朗读 Jing Li 呐喊,Public Domain Mark,来源入口,长语音和韵律测试,https://archive.org/details/call_to_arms_jl_librivox
人物语音,普通话男声 Jc Guan 百家姓,Public Domain,来源入口,男声音色与口型测试,https://archive.org/details/three_chinese_classics_0907_librivox
背景素材,办公室内背景,CC0,来源入口,虚拟办公场景,https://commons.wikimedia.org/wiki/File:Dulles_State_Office_Building_Interior_looking_forward.jpg
背景素材,渐变抽象背景,CC0,来源入口,通用直播与演示背景,https://commons.wikimedia.org/wiki/File:Gradient_Abstract_Background.jpg

